epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,734.581,1.20948,1.44999,1.0313,0.57824,0.41383,0.45822,0.31499,1.2387,1.82915,1.08977,1.08136e-05,1.08136e-05,1.08136e-05
126,739.966,1.22951,1.50229,1.01594,0.56287,0.43122,0.45939,0.31548,1.23596,1.82638,1.08879,1.0675e-05,1.0675e-05,1.0675e-05
127,745.865,1.24548,1.48655,1.02439,0.55267,0.43203,0.45931,0.31526,1.23511,1.8286,1.0877,1.05364e-05,1.05364e-05,1.05364e-05
128,751.124,1.22011,1.46225,1.01666,0.54673,0.42836,0.45967,0.31458,1.23915,1.8299,1.08861,1.03978e-05,1.03978e-05,1.03978e-05
129,757.162,1.21313,1.47748,1.04569,0.56915,0.42111,0.46188,0.31566,1.2408,1.8195,1.0896,1.02592e-05,1.02592e-05,1.02592e-05
130,762.627,1.2023,1.45131,1.01813,0.54262,0.43581,0.46388,0.31798,1.23778,1.82065,1.08925,1.01206e-05,1.01206e-05,1.01206e-05
131,768.411,1.24504,1.49055,1.02731,0.6013,0.40768,0.46326,0.31774,1.23487,1.81747,1.08858,9.982e-06,9.982e-06,9.982e-06
132,773.889,1.2331,1.48716,1.00359,0.61577,0.40479,0.46052,0.31582,1.23054,1.82708,1.08715,9.8434e-06,9.8434e-06,9.8434e-06
133,779.114,1.23852,1.51332,1.0273,0.59563,0.41135,0.46213,0.31636,1.23208,1.82184,1.08687,9.7048e-06,9.7048e-06,9.7048e-06
134,785.332,1.20698,1.48353,1.02393,0.60683,0.41506,0.46549,0.31813,1.23245,1.81519,1.0871,9.5662e-06,9.5662e-06,9.5662e-06
135,790.669,1.22305,1.50588,1.01828,0.6139,0.41137,0.46453,0.31764,1.23289,1.81271,1.0869,9.4276e-06,9.4276e-06,9.4276e-06
136,796.609,1.20145,1.43813,1.02078,0.61143,0.41377,0.46643,0.31873,1.23329,1.80851,1.0873,9.289e-06,9.289e-06,9.289e-06
137,801.745,1.22775,1.51308,1.02156,0.61172,0.41166,0.46741,0.31892,1.23489,1.81475,1.08812,9.1504e-06,9.1504e-06,9.1504e-06
138,807.102,1.19599,1.38684,1.01756,0.60365,0.4151,0.46784,0.31876,1.2365,1.81099,1.08922,9.0118e-06,9.0118e-06,9.0118e-06
139,812.869,1.20837,1.4692,1.03248,0.58182,0.4199,0.46624,0.31797,1.23637,1.8149,1.08959,8.8732e-06,8.8732e-06,8.8732e-06
140,818.08,1.21843,1.43685,1.02143,0.55642,0.44321,0.46957,0.32031,1.23457,1.80764,1.0893,8.7346e-06,8.7346e-06,8.7346e-06
141,824.103,1.21808,1.48042,1.02005,0.58464,0.42664,0.474,0.32321,1.23246,1.80364,1.08846,8.596e-06,8.596e-06,8.596e-06
142,829.185,1.20948,1.40008,1.02638,0.60494,0.41574,0.47393,0.32345,1.23132,1.78978,1.08797,8.4574e-06,8.4574e-06,8.4574e-06
143,834.765,1.2403,1.44443,1.01295,0.58395,0.43463,0.47763,0.32676,1.22946,1.78597,1.08587,8.3188e-06,8.3188e-06,8.3188e-06
144,840.273,1.20673,1.42638,1.01596,0.60525,0.41643,0.47845,0.3276,1.22826,1.78178,1.08455,8.1802e-06,8.1802e-06,8.1802e-06
145,845.119,1.19769,1.43239,1.01437,0.54831,0.45718,0.47773,0.32745,1.22623,1.77977,1.08436,8.0416e-06,8.0416e-06,8.0416e-06
146,851.081,1.17668,1.41648,1.01745,0.61505,0.41347,0.47796,0.32722,1.22862,1.78118,1.08516,7.903e-06,7.903e-06,7.903e-06
147,855.907,1.22186,1.53362,1.02232,0.60119,0.42162,0.47917,0.32709,1.23183,1.76644,1.08712,7.7644e-06,7.7644e-06,7.7644e-06
148,861.575,1.18462,1.42675,1.03128,0.60639,0.42264,0.47951,0.32773,1.23095,1.76776,1.08756,7.6258e-06,7.6258e-06,7.6258e-06
149,866.993,1.17561,1.37421,1.0165,0.59989,0.42456,0.47794,0.32599,1.22986,1.77031,1.08839,7.4872e-06,7.4872e-06,7.4872e-06
150,871.772,1.189,1.37382,1.02705,0.61008,0.42125,0.48022,0.32773,1.22826,1.76489,1.08843,7.3486e-06,7.3486e-06,7.3486e-06
151,877.585,1.2317,1.45527,1.0294,0.61457,0.42129,0.48102,0.3297,1.22605,1.76648,1.0872,7.21e-06,7.21e-06,7.21e-06
152,882.532,1.24328,1.44536,1.01916,0.61707,0.42146,0.48402,0.33093,1.22838,1.7657,1.08704,7.0714e-06,7.0714e-06,7.0714e-06
153,887.867,1.22039,1.46543,1.00794,0.62074,0.41996,0.48368,0.33065,1.23213,1.77093,1.08738,6.9328e-06,6.9328e-06,6.9328e-06
154,893.139,1.18263,1.37902,1.01005,0.62152,0.41878,0.48376,0.33085,1.23478,1.77163,1.08772,6.7942e-06,6.7942e-06,6.7942e-06
155,898.077,1.16987,1.32122,1.01029,0.62033,0.41994,0.48179,0.3298,1.23448,1.76572,1.08789,6.6556e-06,6.6556e-06,6.6556e-06
156,904.04,1.17832,1.40586,1.01379,0.6071,0.42247,0.47973,0.32878,1.23055,1.76299,1.08565,6.517e-06,6.517e-06,6.517e-06
157,909.402,1.17761,1.30175,1.01059,0.60547,0.4246,0.48083,0.32936,1.22805,1.75797,1.08488,6.3784e-06,6.3784e-06,6.3784e-06
158,915.024,1.20791,1.36322,1.01184,0.6176,0.4191,0.47882,0.32879,1.2248,1.76496,1.08383,6.2398e-06,6.2398e-06,6.2398e-06
159,920.202,1.21748,1.421,1.02719,0.60789,0.41956,0.47895,0.32846,1.22404,1.76205,1.08365,6.1012e-06,6.1012e-06,6.1012e-06
160,925.273,1.17994,1.36429,1.0171,0.59131,0.42899,0.47908,0.32758,1.22787,1.75989,1.0856,5.9626e-06,5.9626e-06,5.9626e-06
161,931.28,1.17416,1.3575,1.01129,0.58913,0.42955,0.4788,0.32729,1.22803,1.75836,1.08562,5.824e-06,5.824e-06,5.824e-06
162,936.386,1.20319,1.34447,1.01843,0.55156,0.45518,0.48218,0.32907,1.22609,1.7592,1.08471,5.6854e-06,5.6854e-06,5.6854e-06
163,942.356,1.19918,1.38869,1.01272,0.5976,0.42703,0.48296,0.32901,1.22661,1.7555,1.0851,5.5468e-06,5.5468e-06,5.5468e-06
164,947.521,1.16823,1.37769,1.02394,0.55357,0.4546,0.48336,0.32953,1.22654,1.75686,1.08507,5.4082e-06,5.4082e-06,5.4082e-06
165,952.483,1.19381,1.34737,1.01491,0.5513,0.45621,0.48344,0.3301,1.22377,1.75253,1.08437,5.2696e-06,5.2696e-06,5.2696e-06
166,958.134,1.20069,1.36215,1.01723,0.59837,0.42891,0.48391,0.32987,1.22368,1.75898,1.08487,5.131e-06,5.131e-06,5.131e-06
167,963.088,1.15783,1.31115,1.01465,0.61012,0.42314,0.4844,0.33055,1.22253,1.76024,1.08486,4.9924e-06,4.9924e-06,4.9924e-06
