epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,1815.99,0.83496,0.571,1.0379,0.90967,0.87436,0.92759,0.75443,0.77258,0.41763,1.02481,4.3395e-06,4.3395e-06,4.3395e-06
137,1828.87,0.8302,0.57363,1.02562,0.89977,0.8755,0.92965,0.7579,0.76873,0.41779,1.02233,4.16995e-06,4.16995e-06,4.16995e-06
138,1841.78,0.83274,0.57389,1.02798,0.91441,0.86661,0.92931,0.75553,0.77441,0.4174,1.02532,4.00344e-06,4.00344e-06,4.00344e-06
139,1854.64,0.81713,0.57013,1.0247,0.90026,0.87234,0.93146,0.76043,0.76938,0.41689,1.02307,3.84001e-06,3.84001e-06,3.84001e-06
140,1868.13,0.83292,0.57391,1.01124,0.90514,0.87313,0.93181,0.7619,0.76427,0.41358,1.02092,3.67973e-06,3.67973e-06,3.67973e-06
141,1881.54,0.83017,0.57691,1.02892,0.89959,0.8775,0.93131,0.75973,0.76718,0.41367,1.02188,3.52262e-06,3.52262e-06,3.52262e-06
142,1894.48,0.83282,0.57952,1.01387,0.91102,0.86882,0.93114,0.75794,0.77138,0.4147,1.02391,3.36876e-06,3.36876e-06,3.36876e-06
143,1907.45,0.83188,0.57361,1.01523,0.90416,0.87341,0.93243,0.76003,0.76818,0.41271,1.02241,3.21817e-06,3.21817e-06,3.21817e-06
144,1920.42,0.82361,0.57166,1.01714,0.89394,0.87927,0.93194,0.7611,0.76526,0.41237,1.0205,3.07091e-06,3.07091e-06,3.07091e-06
145,1933.32,0.83831,0.57973,1.02812,0.90629,0.87656,0.93296,0.76106,0.76463,0.41351,1.02078,2.92702e-06,2.92702e-06,2.92702e-06
146,1946.25,0.82871,0.5741,1.01937,0.90165,0.87724,0.93197,0.76136,0.76366,0.41241,1.0206,2.78655e-06,2.78655e-06,2.78655e-06
147,1959.16,0.82179,0.56608,1.01519,0.89873,0.87986,0.93253,0.76174,0.76391,0.41152,1.02054,2.64954e-06,2.64954e-06,2.64954e-06
148,1972.07,0.83993,0.57727,1.01961,0.90196,0.87692,0.93172,0.762,0.76321,0.41193,1.01966,2.51603e-06,2.51603e-06,2.51603e-06
149,1985.45,0.82664,0.56413,1.0329,0.919,0.86651,0.9324,0.76263,0.7651,0.41218,1.02094,2.38605e-06,2.38605e-06,2.38605e-06
150,1998.69,0.82176,0.56598,1.0252,0.91598,0.86767,0.93221,0.76217,0.76728,0.41287,1.02196,2.25966e-06,2.25966e-06,2.25966e-06
151,2011.59,0.83509,0.58536,1.01952,0.91556,0.87066,0.93314,0.76479,0.76234,0.41151,1.01998,2.13689e-06,2.13689e-06,2.13689e-06
152,2025.02,0.83824,0.58621,1.02011,0.91047,0.87591,0.93342,0.76447,0.76151,0.41133,1.01921,2.01777e-06,2.01777e-06,2.01777e-06
153,2038.02,0.84549,0.58297,1.02583,0.91874,0.86842,0.93426,0.76417,0.76223,0.41109,1.01925,1.90235e-06,1.90235e-06,1.90235e-06
154,2050.95,0.82167,0.57643,1.02345,0.9011,0.8823,0.93359,0.76435,0.76131,0.41074,1.01834,1.79065e-06,1.79065e-06,1.79065e-06
155,2063.92,0.84342,0.58336,1.02441,0.90656,0.87631,0.93186,0.76145,0.76381,0.41087,1.01948,1.68271e-06,1.68271e-06,1.68271e-06
156,2076.86,0.82417,0.56337,1.02891,0.90619,0.87824,0.93309,0.76319,0.76452,0.41044,1.02016,1.57857e-06,1.57857e-06,1.57857e-06
157,2089.76,0.82064,0.55948,1.01999,0.90219,0.88048,0.93295,0.76248,0.76318,0.41044,1.0199,1.47826e-06,1.47826e-06,1.47826e-06
158,2102.61,0.81495,0.56718,1.01648,0.90618,0.87673,0.93272,0.76389,0.76146,0.41023,1.01943,1.3818e-06,1.3818e-06,1.3818e-06
159,2115.52,0.83176,0.57152,1.02961,0.90648,0.87739,0.93316,0.764,0.76405,0.41155,1.01971,1.28923e-06,1.28923e-06,1.28923e-06
